Most common words,B1 relative frequency,B2 relative frequency,Differences in relative frequency
golden,0.0005314303067112056,0.0012649581298859007,0.0007335278231746951
home,0.0009489826905557243,0.00022769246337946215,0.0007212902271762622
de,0.0,0.0007210261340349634,0.0007210261340349634
almost,0.0001518372304889159,0.0008728211096212716,0.0007209838791323557
court,0.0001518372304889159,0.0008728211096212716,0.0007209838791323557
certain,0.0004175523838445187,0.0011384623168973107,0.000720909933052792
3,0.0009110233829334953,0.00020239330078174411,0.0007086300821517511
four,7.591861524445795e-05,0.0007842740405292585,0.0007083554252848006
story,0.0009869419981779531,0.00029094036987375717,0.0006960016283041959
electronic,0.0010249013058001822,0.0003415386950691932,0.0006833626107309891
child,0.0008730640753112663,0.0001897437194828851,0.0006833203558283813
european,0.0,0.0006830773901383864,0.0006830773901383864
süleïman,0.0,0.0006704278088395274,0.0006704278088395274
streets,7.591861524445795e-05,0.0007463252966326815,0.0006704066813882235
left,0.00045551169146674765,0.0011258127355984516,0.000670301044131704
back,0.0006832675372001215,0.0013535051989779139,0.0006702376617777924
big,3.795930762222897e-05,0.0006957269714372455,0.0006577676638150165
help,0.0009489826905557243,0.0003035899511726162,0.0006453927393831081
gardens,0.0,0.0006451286462418094,0.0006451286462418094
hand,0.0003036744609778318,0.0009487185974144256,0.0006450441364365938
enough,0.0003795930762222897,0.0010246160852075796,0.0006450230089852899
might,0.0006832675372001215,0.001328206036380196,0.0006449384991800744
foundation,0.0009869419981779531,0.0003541882763680522,0.0006327537218099009
terms,0.0009110233829334953,0.0002782907885748982,0.0006327325943585971
paper,0.0008351047676890374,0.00020239330078174411,0.0006327114669072932
bring,0.0008351047676890374,0.00020239330078174411,0.0006327114669072932
began,3.795930762222897e-05,0.0006704278088395274,0.0006324685012172984
high,0.0003795930762222897,0.0010119665039087205,0.0006323734276864309
sea,0.0004175523838445187,0.0010499152478052976,0.0006323628639607788
poor,0.0009110233829334953,0.00029094036987375717,0.0006200830130597382
lady,0.00018979653811114486,0.0008095732031269765,0.0006197766650158316
red,0.00022775584573337383,0.0008475219470235535,0.0006197661012901797
known,0.0003036744609778318,0.0009234194348167076,0.0006197449738388758
perhaps,0.00045551169146674765,0.0010752144104030157,0.0006197027189362681
given,0.0012146978439113271,0.0006071799023452324,0.0006075179415660947
remember,0.0009869419981779531,0.0003794874389657702,0.000607454559212183
green,0.0001518372304889159,0.0007589748779315404,0.0006071376474426246
number,0.00022775584573337383,0.0008348723657246945,0.0006071165199913207
sophia,0.0,0.0005945303210463733,0.0005945303210463733
famous,3.795930762222897e-05,0.0006324790649429504,0.0005945197573207214
stood,3.795930762222897e-05,0.0006324790649429504,0.0005945197573207214
magnificent,7.591861524445795e-05,0.0006704278088395274,0.0005945091935950695
early,0.00011387792286668691,0.0007083765527361044,0.0005944986298694175
tower,0.0,0.0005818807397475143,0.0005818807397475143
quarter,3.795930762222897e-05,0.0006198294836440914,0.0005818701760218624
least,7.591861524445795e-05,0.0006577782275406684,0.0005818596122962105
prophet,0.0001518372304889159,0.0007336757153338225,0.0005818384848449066
already,0.00018979653811114486,0.0007716244592303995,0.0005818279211192547
hundred,0.0003036744609778318,0.0008854706909201305,0.0005817962299422988
copyright,0.0008351047676890374,0.00026564120727603916,0.0005694635604129982
mahmoud,0.0,0.0005692311584486554,0.0005692311584486554
picturesque,0.0,0.0005692311584486554,0.0005692311584486554
cypresses,0.0,0.0005692311584486554,0.0005692311584486554
asia,3.795930762222897e-05,0.0006071799023452324,0.0005692205947230034
later,0.0001518372304889159,0.0007210261340349634,0.0005691889035460475
h,0.0008730640753112663,0.0003162395324714752,0.0005568245428397912
mr,0.0008351047676890374,0.0002782907885748982,0.0005568139791141391
human,0.0007971454600668084,0.00024034204467832115,0.0005568034153884873
seraglio,0.0,0.0005565815771497964,0.0005565815771497964
strange,3.795930762222897e-05,0.0005945303210463733,0.0005565710134241443
five,3.795930762222897e-05,0.0005945303210463733,0.0005565710134241443
head,0.00011387792286668691,0.0006704278088395274,0.0005565498859728405
gold,0.0004175523838445187,0.0009740177600121436,0.000556465376167625
great,0.0023914363802004252,0.002947352442634149,0.0005559160624337236
without,0.0018220467658669906,0.0012776077111847598,0.0005444390546822308
perfect,0.0010249013058001822,0.0004806840893566423,0.0005442172164435399
europe,3.795930762222897e-05,0.0005818807397475143,0.0005439214321252854
