Most common words,Absolute frequency,Relative frequency
get,15.0,0.0005693896143334346
modern,15.0,0.0005693896143334346
brethren,15.0,0.0005693896143334346
together,15.0,0.0005693896143334346
death,15.0,0.0005693896143334346
future,15.0,0.0005693896143334346
donations,15.0,0.0005693896143334346
cost,14.0,0.0005314303067112056
copy,14.0,0.0005314303067112056
david,14.0,0.0005314303067112056
volume,14.0,0.0005314303067112056
sunday,14.0,0.0005314303067112056
lips,14.0,0.0005314303067112056
become,14.0,0.0005314303067112056
makes,14.0,0.0005314303067112056
kind,14.0,0.0005314303067112056
cheap,14.0,0.0005314303067112056
night,14.0,0.0005314303067112056
tells,14.0,0.0005314303067112056
master,14.0,0.0005314303067112056
strong,14.0,0.0005314303067112056
gives,14.0,0.0005314303067112056
far,14.0,0.0005314303067112056
brought,14.0,0.0005314303067112056
alone,14.0,0.0005314303067112056
seen,14.0,0.0005314303067112056
hear,14.0,0.0005314303067112056
golden,14.0,0.0005314303067112056
personal,14.0,0.0005314303067112056
age,14.0,0.0005314303067112056
buy,14.0,0.0005314303067112056
brierley,14.0,0.0005314303067112056
literary,14.0,0.0005314303067112056
fcap,14.0,0.0005314303067112056
trademark,14.0,0.0005314303067112056
ebook,13.0,0.0004934709990889766
laws,13.0,0.0004934709990889766
english,13.0,0.0004934709990889766
beauty,13.0,0.0004934709990889766
names,13.0,0.0004934709990889766
danger,13.0,0.0004934709990889766
sense,13.0,0.0004934709990889766
saying,13.0,0.0004934709990889766
desires,13.0,0.0004934709990889766
paul,13.0,0.0004934709990889766
becomes,13.0,0.0004934709990889766
half,13.0,0.0004934709990889766
fatherhood,13.0,0.0004934709990889766
mean,13.0,0.0004934709990889766
pure,13.0,0.0004934709990889766
terrible,13.0,0.0004934709990889766
according,13.0,0.0004934709990889766
teaches,13.0,0.0004934709990889766
pay,13.0,0.0004934709990889766
wealth,13.0,0.0004934709990889766
price,13.0,0.0004934709990889766
forgiven,13.0,0.0004934709990889766
st,13.0,0.0004934709990889766
forms,13.0,0.0004934709990889766
including,13.0,0.0004934709990889766
messages,13.0,0.0004934709990889766
archive,13.0,0.0004934709990889766
london,12.0,0.00045551169146674765
james,12.0,0.00045551169146674765
desire,12.0,0.00045551169146674765
call,12.0,0.00045551169146674765
mere,12.0,0.00045551169146674765
